Name,Detailed Description
AutoCuttingHighlightVideo,"Automatically cutting the high light scene(kill eliminated defart splated) and create a video clip from your Playing Video Game Movie File(mp4).When you create a montage of game highlight scenes, you will be looking for the highlight scenes and making cut edits to the video. This software automatically edits the cut. This app automatically finds highlight scenes from gameplay videos with huge playback time and spits them out to mp4 files. Consider editing a 10 hour video. I think that just looking for the highlight scene will consume one day. With this software, you can let the application do other things by letting the application edit the cuts of the highlight scenes. The app has already finished the cut edits while you are dating, eating rice, and eating potato chips.Supported Games SplatoonApex Legends(beta)Games that will be supported in the future are as followsFortniteSplatoon3It may use NVENC technology from NVIDIA graphics cards. It can be used without this, but it can only support the baseline profile and main profile in mp4.(only limited encoding is possible in terms of license, not technically).The trial version will be exported in 144p."
Bouncing Traveler,"  Bouncing Traveler   - a platformer game for accuracy, made in 3D graphics.In the game, you have to control the ball, which must jump on platforms to reach the teleport. On the way, you will come across various traps and dangers that you will have to bypass and overcome, along the way collecting coins that will be useful to you in the future. Help the ball get to the last teleport, overcoming bad weather, traps and dangers! "
Tiger Tank 59† Battleship MP006,"About
&quot;Tiger Tank 59&quot; is a top-down shooting game
In this game , Players need to control their tanks,
through the enemy lines, break the enemy base,
or defeat the enemy tanks

The DLC include map pack 006"
LET IT DIE -(Special)10 Death Metals- 032,"(Special)10 Death Metals

Special offer: one chance per person!
You can use these 10 Death Metal to continue your game after your die, and expand your storage among other things.


10 Death Metals


*This content can only be purchased once.
*If you didn't purchase your additional items in-game from Direct Hell, please restart your game to receive your items.
*Other than Death Metal, the items obtained in this content will be sent to your in-game Rewards Box once purchased.
*If your Rewards Box has 50 or more items in it, you will be able to claim your purchased items when the amount of items in the box drops below 50.
*If you already have the maximum amount of Kill Coins, you will not be able to take Kill Coins out of your Rewards Box."
Nox Archaist Book of Hints,"The Book of Hints contains everything you need to fully enjoy and complete the game of Nox Archaist. Designed for both novice and experienced players, this digital download is packed with information. The download includes:176-page eBook/PDFProgressive hints to avoid spoilersWalkthrough for each questFull game walkthroughTips &amp; tricks for both first-time and replayDetails and locations of castles, towns, and moreComplete list of books, scrolls, and quest itemsLocation of trainers and other helpful NPCsHidden treasures and secret passagewaysBehind-the-scenes trivia from the game creatorsComplete Set of MapsComplete of spoiler-free maps (in the eBook)Complete set of full-color maps, using the Nox Archaist tile setComplete set of spoiler maps showing monsters, treasure chests, and secret doorsJump start your game with the Book of Hints, and become a master of Nox Archaist!About the author: Andrew Schultz is the author of several text adventures as well as maps and walkthroughs of hundreds of classic computer games including Ultima, Dragon Wars, BardTale, and many others. The game maps are by Nox Archaist master @rikkles."
Demon city,"Hello everyone, this is a small RPG game, round fighting game

The combat mode adopts turn mode, so that you can not only experience the strike feeling of real-time combat, but also enjoy the skill combination strategy of turn mode.

This version of the game has completed the first phase of the content, about 20 minutes in length, the full version is about 2 hours, the follow-up should be issued in the form of DLC.

This is my first game, because the production is very immature, resulting in a lot of problems. Now the development has been suspended, but it will be completed later.

The Devil Castle is the place where the devil lives. It is a Fantasy Legend lost for thousands of years.

The protagonist inexplicably appears outside the demon castle, but there is no way out, and what is the front waiting for him?

In the face of a variety of enemies, difficulties, with scarce resources to start thinking about solutions to it!

Features of the game:

1. The repetition of enemy and event is low, and there are novel (items / treasure boxes) waiting to be explored in every corner of the map;

2. The setting of background and characters is rigorous and meticulous, expecting to show the story as if it were true;

3. In the face of difficulties, there are many solutions, which need to weigh the pros and cons, and carefully think about the steps forward."
The Secret Blue Forest,"The Secret Blue ForestA relaxing 3d platformer fantasy adventure.You awake to find bandits have stolen your fence and set your house on fire, the only solution you know is to travel to a different dimension where heat cannot survive and move it to your home, perhaps it will teach those bandits a lesson in the process.You play as  an Ice Sorcerer whose magic has a connection to the Ice forest, you're the only one who doesn't seem to be warped by the Ice forests magic, this allows you to create slippery ice, shoot ice shards, double jump and move boxes at range.In The way of your adventure you will find animals and enemies that will try to kill you in different ways, some much stronger than others, all of these will be  warped and changed in the Ice dimension, changing their power.Along the way you will find your dog companion who knows the location of all the secret keys in order to enter the Ice Forest control room."
DIRT 5 - Super Size Content Pack,"The Super Size Content Pack certainly lives up to its name, with four huge off-road machines ready to take on all terrain and all challengers. First up, our cover star: the Bentley Continental GT Ice Racer. Don‚Äôt be fooled by the name ‚Äì whilst this Ice Racer will indeed be right at home on sub-zero surfaces at New York, Norway, and Nepal, this 626bhp monster will tear up all surfaces in DIRT 5 on its 22-inch rims; a perfect blend of class and performance, taken to the extreme.Whilst the Bentley joins the Rally GT class, the Armada Rock Racer is our second entry to DIRT 5‚Äôs monstrous Rock Bouncer class. This intimidating machine, with huge ridged tyres and minimal chassis, is built to take on our most dangerous terrain in point-to-point Path Finder events. For the Cross Raid class comes the Volkswagen Atlas Cross Sport Baja Concept ‚Äì The Atlas has the power and endurance to conquer any off-road challenge, being a suped-up race version of the already-mighty crossover VW. Finally, a truly unique all-terrain option for your DIRT 5 garage: the Rezvani Tank. With its roots beginning with a Jeep Wrangler, the Rezvani takes everything up a notch: Power (over 1000bhp!), bodywork (bulletproof armour!) and insane ridged tyres. Head to the Pre-Runner class to try and tame the Tank.The Super Size pack further expands DIRT 5‚Äôs Career mode with another 25 bespoke events to take on in a new chapter. Also, Two more sponsors ‚Äì Toblerone and Power Maxed ‚Äì are available to sign for and earn exclusive rewards for, including liveries, by completing their objectives. More customisation items also arrive in the Super Size Content Pack, such as stickers, lanyards, and more patterns for custom liveries. To use the content within this pack, you must own DIRT 5. This pack is included as an entitlement for Amplified Edition and Year One Upgrade / Edition owners."
Play With Gilbert - Unicorn Supporter Pack,"Play as a cute magical plush Unicorn come to life with this Unicorn Supporter Pack! Two little unicorn player characters will be unlocked in the base game and they have their own unique talents. Unicorns can float without the use of a glider and when you use the magic from their horns, you will be able to use uni-sense. an advanced version of kitty-sense and also make objects float towards you from a short distance. This makes collecting objects so much easier!This pack was created for long time users and newcomers to help support me, the developer! Since the remake is completely free, some of the community members expressed their wish to be able to support me further and with this pack you can do if you want to.What's in this pack?A unique unicorn for each playerUnicorns have their own special abilities such as hovering and uni-sense!My immense gratitude for further supporting myself and the game"
Chuhou Joutai 2: Paraided!,"The true strength of The Real Driller is his wisdom.A few months have passed since Frederic Sam Fawkes' fall. Has his soul returned from the Netherworld? Now, a curse has struck Kozankyo and SPASDOT wants Kozan's beloved Crown Princess to vanish. Should it happen, SPASDOT will plague Kozan through communist domination. Hope will rest on the Kozanese Royal Defense Force recruits Susumu Takajima and Kagami Ochiai, who are now searching for an ancient relic for the Crown Princess, but SPASDOT wants to make them die trying. Your ultimate strength can't come from your might, but your mind.Chuhou Joutai is back for a whole new adventure. You won't be exploring just Kozankyo, but nearby cities as well. The new swaths of danmaku will challenge your reflexes to another level. New enemies, including mythical creatures and Crimsonite types are also here to challenge you as well. Need something to get or to take a breather? Just go to a convenience store or dine out at a sushi bar to see what they offer. If you fail to collect the newtons or ingots from thumped foes, you won't receive clues from the townsfolk for ways to confront the Scarlet Devil again.FeaturesRetro-style graphics influenced by the golden era of arcade gamesTwo playable characters with an amazing two-player modeSimplified gameplay for newcomers, as well as easy to learn and intuitive controlsHilarious dialogue with a new and improved art style"
Fantasy Grounds - Pathfinder for Savage Worlds Core Rules,"Pathfinder for Savage Worlds Core Rules  Adventure Awaits!  An ancient and evil undead thing rises in a dark dungeon. A long-forgotten horror stirs in the dark forest. A hungry and vengeful dragon awakes in forgotten mountains. A cry for help echoes across the world of Golarion. Brave heroes --the Pathfinders-- answer the call. They are crafty rogues, powerful sorcerers, and deadly fighters. They are humans, elves, dwarves, gnomes, and halflings. They are heroes!Pathfinder for Savage Worlds combines the &quot;Fast! Furious! Fun!&quot; of the best-selling, award-winning Savage Worlds game system with the incredible depth and excitement of Paizo's phenomenal Pathfinder Roleplaying Game and the world of Golarion. Create your own adventures or play one of the legendary Adventure Paths, starting with Rise of the Runelords! (Available separately, HERE.) This book contains the Savage Worlds rules, specially tailored for the world of Golarion. All you need are dice, a deck of playing cards for initiative, and some excellent friends to share your adventures with!Adapted from a 256 page hardcover book that contains all the rules you need to play Pathfinder(R) for Savage Worlds, no other rulebook is necessary.Adapted for Fantasy Grounds by: Aki Heikkinen and Kevin Doswell Requires: An active subscription or a one time purchase of a Fantasy Grounds Full or Ultimate license. Compatible with Fantasy Grounds Unity. Screenshots may differ from what you see in-game based on the extension and ruleset you have loaded and if you are running Fantasy Grounds or Fantasy Grounds Unity."
RPG Maker VX Ace - Super Retro World - Exterior Pack,"Welcome to the Super Retro World - Exterior Pack which features lovely coastal town vibes for creators building their next great RPG. These tiles will help developers build their new town using signage for a Shop, Pub, or Inn along with interior design for an inn. Furthermore, choose from gardens, flower pots and trees, to lamps, mailboxes, building types and more. Pick up the Super Retro World - Exterior Pack today to have all the right pieces for building a retro inspired world!
 
Features:  

* 5 tilesets : autotiles (A2) and 4 tilesets (B to E).
Compatible with RPG Maker VX Ace, MV and MZ.

Terms of Use:

* This pack is for use in RPG Maker Series or the engine of your choice.
* OK to be used in Commercial projects
* Contents can be edited
* OK for use in games with gore
* OK for use in adult-rated games"
SAMURAI WARRIORS 5 - Additional Weapon set 4,"Note: This content is part of the &quot;SAMURAI WARRIORS 5 Season Pass&quot;. Be careful to avoid making a redundant purchase.

The following additional content is included:

‚óãAdditional Weapon Set 4
„ÉªTwin Blade ‚ÄúNightmare Bird‚Äù
„ÉªSpear ‚ÄúSoaring Crow‚Äù
„ÉªSledge ‚ÄúBovine Terror‚Äù

‚ñ†How to use
After purchasing Weapon Sets via the Shop in the My Castle menu in either Musou Mode or Citadel Mode, you can equip them by selecting Change Equipment in the Dojo."
Samurai Journey,"game introduction
&quot;Samurai Journey&quot; is an adventure game. The game has a well-designed plot, rich level design and unexpected little eggs.
 
Game Features

‚ö™The combat system of &quot;Samurai Journey&quot; is based on rhythm, avoiding enemy attacks, mastering the rhythm to counterattack, and also avoiding obstacles in the map.

‚ö™ We have designed a wealth of decryption levels and battle levels, allowing you to experience different pleasures.

  ‚ö™ Give full play to your abilities: When you first get started, you may feel a little difficult. Master the rhythm and patterns, avoid obstacles and defeat the enemy, and regain your own music.

‚ö™ The movement of the samurai is closely related to the rhythm. There are various obstacles and monsters along the way. We need to avoid them and defeat them to pass the level!"
Coloring Game 4 Demake No.1,"The sixth DLC to the game Coloring Game 4. The theme of this DLC is pictures stylized as old games.

Size: 15 images / 400,000px
Duration: 8 hours (Pen Mode) / 4 hours (Fill Mode)"
Students' horrible stories FIN - sHadoW FrIEND,"'sHadoW FrIEND' shows the story of 'Students' horrible stories FIN' a year ago.Since it is conducted in the form of one specific character telling a story to other characters, there is also a bit of a backstory.Please do not purchase this DLC at the same time you purchase the game.I hope that only those who enjoyed the game to the end + those who are curious about the past and future stories, please purchase.Because it is a structure that only such people can enjoy.Be sure to read the description of the DLC you see in-game before deciding whether to make a purchase or not. There are no navigation and chase scenes at all, and you can only do things like view conversations and save from checkpoints.Playtime is about 5 hours, and depending on how fast you watch the conversation, it can be plus or minus an hour or two.No horror element, only analysis and commentary awaits YOU."
Idle Master Hunter Steam Edition,"The loved and awesome game Idle Master Hunter are now available on Steam.We have changed the game abit and made a good support for computer gamers aswell.Slay enemies to get money to invest in new weapons, companions, vault and more. A campaign with 9 different zones that requires alot of effort to get through. Select between different heroes to play the type you like and compete against other players through ranking list to be the best IMH player in the world. HEROES3 Different heroes (Warrior, Berserker and Crusader)COMPANIONSYou will have alot of help with the companions you recruit and gearing.MONSTERSOver 80 monsters that would try to stop you going further in you adventure.RAIDSAlot of different raids that applies different mechanics. Take them down rewards you alot.ACHIEVEMENTSOver 250 in game achievements to complete and 45 Steam Achievements!SEASONSModifiers and perks that only affects season players. Climb season leaderboard and be the best Season Idle Master Hunter player in the world."
Homebound,"A Journey HomeYou set out on adventures to explore the world. It feels like you've seen all there is to see. But now, maybe it's time to visit home. It's been so long, you're not even sure you know the way. With your platforming skills, clever use of badges you find along the way, and advice from people you meet, you are sure to find your way home in the end!Creative PlatformingUse badges you find along the way to enhance your platforming capabilities. Make clever use of combinations of badges to make it through every challenge you will face on your way home.Estimated Playtime: 30-90 minutesIn the same time it takes to grab a pizza, take a journey through this comical, colorful world."
Project Venus.RP,"Background Information:In this day and age, Artificial Intelligence has been integrated into our everyday life. Zenox Future Technology corporation had developed a new system named ‚Äì Venus system.The corporation hopes to utilize AI technology in the next generation of male erotica products.By coding the chip within the Venus system, it allows the AI to learn about said erotic information.And finalize the setup process before the system can be put into mass production.As such, Zenox Future-tech corp had selected you to be part of the first batch of the testers.And had provided two life-like AI-Android- First-generation mass production model 001 Alpha, and second-generation upgraded model 002 Beta.The corporation hopes to collect the user data with the time that you will be spending with the androids and refine the products.So, get yourself ready to experience your brand new work, and life!"
Gefragt Gejagt - Das Spiel,"Chaser or chased - who will ultimately emerge victorious from the studio? It's up to you! Experience the show up close. Finally, you can compete as a contestant against one of the chasers or take on the role of the chaser yourself and show the contestants that you have what it takes to be a real chaser. Play with up to three friends and decide completely freely how you want to split up. All four of you want to compete against the chaser just like in the real show and beat Sebastian Klussmann, Sebastian Jacoby or Klaus Otto Nagorsnik? No problem! You want to prove to your friends that you are the real chaser? Then take their place and play against them. For this purpose, we have prepared a special chaser that you can take over to make the candidates really sweat. THE CHASER BEGINS!The show is hosted by Alexander Bommes, just like in the original. The original voices of the chasers Klussmann, Jacoby and Nagorsnik are also present and give the game a real show feeling.Everything is possible: play as a candidate or chaserGeneral knowledge: Over 4,500 questions from 25 categories: There really is something for everyone here.Pure adrenaline: Prove what you really know under time pressure. Here you feel like you're on the real show!All together: Play with up to three friends. Who takes on which role is up to you.&quot;Mr. Klussmann, you're wearing an interesting shirt again today&quot;: The little teasing between the host and the chaser is also part of the game, of course.Original voices: Alexander Bommes as well as Sebastian Klussmann, Sebastian Jacoby and Klaus Otto Nagorsnik speak their characters personally."
MOTESOLO : HD Wallpapers,[] Wallpaper Pack ‚Äì Make your e-life more beautifully with these high-definition wallpapers.87 kinds of high-definition images are included.
Tactical Vanguard Saga,"A story driven, single-player, 2D turn-based strategy RPG set in a future where human civilization has expanded to space colonies, &quot;Tactical Vanguard Saga&quot; focuses on the story of a child from Earth, Audra, who is instructed by a trendy video game to break special agent Beaufort out of captivity on Mars using advanced military Mecha technology known as Automaton Armors. The player in &quot;Tactical Vanguard Saga&quot; controls both Audra and agent Beaufort as they pilot their stolen Automaton Armors to escape the full military might of the Space Frontier Colonies. However, once the citizens of Earth are attacked in retaliation to Audra's actions, Audra herself is faced with a larger conspiracy behind her precious video game as this pixel action story unfolds."
Gemstone Defense,"Gemstone Defense is a single player tower defense game where players can construct mazes that enemies will have to navigate in order to reach key checkpoints before they can proceed to the next area. Each wave, players will place gems to form their maze and select one tower (gem) to keep. The remaining gems are converted to mazing rocks which enemies will have to navigate around. Players can upgrade gem quality, build special gems and discover the best mazes and secret towers. Can you make it to the end?"
Coral Quest,"We are different!Play a game which donates to make Mother Earth a better placeMatchala Games will donate 25% of all proceeds to cleaning up our oceans from plastic and other debris impacting marine life and their homesAbout the GameDid you know a third of all plastic litter found in the sea is made up of plastic bottles? Matchala Games has made Coral Quest, an underwater ocean runner aimed at raising awareness about plastic and how it effects our oceans and marine life. We are donating 25% of all proceeds to organizations directly cleaning our oceans up, more about the game below:Help Polly, Betty, Chloe and friends clean up the underwater plastic and debris by swimming and dodging as fast as you can in new and endless running game!- Dash and move in 9 different lanes, a completely unique control system!- Colorful and stunning ocean graphics!- Unlock new characters and equip the coolest accessories- Complete Fun Milestones to create your habitat- Collect and recycle all of your plastic to make the ocean a clean place to live- Test your aptitude by trying our challenging and crazy fun underwater challenges- Play fun mini games daily to claim prizes and treasuresDownload for game now and start a new challenge of using less plastic!"
Beat Saber: Gwen Stefani The Sweet Escape ft. Akon,"Get the track 'The Sweet Escape ft. Akon' by Gwen Stefani and slash the beats! This track is part of Interscope Mixtape, brought to you by Interscope Records.

Music Downloads Not Rated by the ESRB

Music Downloads Not Rated by PEGI"
Detective Rosie Morgan: Murder on the River Thames,"Buzz About the Game Detective Rosie Morgan: Murder on the River Thamesù is a Detective Mystery Visual Novel and Yuri Dating Sim set in London. You play as DI (Detective Inspector) Rosie Morgan, one of the best and brightest detectives in London's Metropolitan Police. See if you can help Rosie manage solving a case that has all of Britain holding its breath, while still maintaining a healthy love life in this gripping tale of passion, murder, and romance.Featuring:-    A gripping murder mystery plotline-    Hilarious dating sim mechanics - Go on very memorable dates  -    Modern fusion jazz and chill soundtrack-    Beautiful anime character art-    Multiple endings-    Over 60,000 word count"
Beauty Agent,"A 2D &quot;special&quot; horizontal version of the beauty girl shooting game. The heroine Ai belongs to a secret agent organization made up of women. Recently, the organization was attacked by evil forces, and a large number of agents were kidnapped. As the core combat member of the organization, Ai went deep into the enemy base alone to rescue his companions.
¬∑ Lovely female characters.
¬∑ 2D shooting mode.
¬∑ A variety of guns can be switched.
¬∑ Multi-direction grenade throwing system.
¬∑ Multiple types of enemies.
¬∑ Unique rescue mode.
¬∑ Levels that are both reactive and strategic."
Neko Hacker Plus,"Add to your wishlist About the GameGameplayYou miraculously slip into the room of your friend, who works as a photographer. While she is busy, you have time to hack the images on her computer! Discover all the pictures by solving simple puzzles of the ChanOS system!In the process of exploring a friend's room, you can do the available activities. For example, change clothes, modify your body look, watch the cats or just dance."
Vampire Revenge,"Vampire Revenge is an adult 2D game developed by Gaweb Studio.Play as a weakened vampire lord and fight your way to the top, either by fighting or seducing.Includes the following themes : blood sucking, hypnotism, fight, animated sex, maze exploration, power-ups and more!STORYOnce upon a time lived a powerful vampire and his four faithful captains...Well... Not as faithful as expected since they decided to betray him... Who would have guessed ?After sealing him, they split the world in four and decided men were an eyesore...For years have men been hunted and decimated, until some villagers found the castle were the vampire lord was sealed.In such a situation, obeying a vampire seemed better than dying by the hand of crazy women. And thus, they awakened him from his long slumber...Now is time for revenge...FEATURES- Castle Management : Improve your castle to unlock more space and buy new furniture- Exploration : Mazes are randomly generated, giving infinite replayability- Battles : Kill or capture enemies. Armors can be destroyed- Sexy enemies : Girls are randomly generated from several predefined options such as skin color, hair color, hair type, breast size, and more- Survival : Suck your slaves' blood daily to regenerate your health- Power up : Unlock new vampire powers by paying the blood price- Sex : Indulge in five animated sex scenes to increase your control on your slaves, with vaginal or anal sex"
Hentai Sushi Jigsaw,Hentai Sushi Jigsaw is a simple game for people who want to play for fun without major difficulties.The game is a Jigsaw with few pieces and great art you get a lot of fun. During the game as you solve puzzles the little story progresses.
Train Simulator: Southwestern Expressways: Reading - Exeter Route Add-On,"Hundreds of miles and detail galore, Just Train Southwestern Expressways spans 4 counties and is ready to be explored now in Train Simulator!The Southwestern Expressways route features 3 key mainlines:Reading to TauntonThis line is part of the larger line that connects London and Exeter while bypassing the Great Way Roundvia Bristol, this is the main route for long-distance journeys between the Capital and the West Country, going via Reading West, Newbury and Westbury.Bristol to WestburyThe line that winds its way south from Bristol to Westbury via Bath is the Heart of Wessex Line. Services on the line continue onwards towards Weymouth, making it a popular link for local trains connecting Bristol, Bradford and Westbury to the south coast.Bristol to ExeterThe classicGreat Way Round route that extends the GWML from Bristol to Exeter via Taunton sees plenty of Great Western and cross-country services every day, with long-distance services diverting off at Taunton for the line via Westbury. Included ScenariosA selection of Standard and Free Roam scenarios are included:2V93 1730 Weymouth - Bristol Temple Meads1A74 05:53 Plymouth - London Paddington1M41 1006 Paignton - Manchester Piccadilly1J93 1806 London Paddington - Frome2K32 0812 Reading - Bedwyn2M17 1932 Westbury - Cheltenham Spa1C83 1219 London Paddington - Taunton1A07 06:49 Weston-Super-Mare - London PaddingtonWestbury Free RoamBristol Temple Meads Free RoamReading Free RoamExeter St Davids Free RoamMore scenarios are available on the Steam Workshop online and in-game. Train Simulator Steam Workshop scenarios are free and easy to download, adding many more hours of exciting gameplay. With scenarios being added daily, why dont you check it out now!Click here for Steam Workshop scenarios.Key Features220 mile route set in 2010 including:Reading to TauntonWestbury to BristolBristol to Exeter39 custom and detailed stationsImmersive scenery covering Berkshire, Wiltshire, Somerset and DevonNumerous points of interest throughout the route8 Standard and 4 Free Roam scenariosQuick Drive compatibleDownload size: 2.0GB"
Booty Calls - Eva Elfie,"Pornstar Eva Elfie has joined the Naughty Beach crew! This Russian bombshell is here to make your days better and your nights naughtier ‚ù§Ô∏è 

A real social butterfly, Eva loves to meet new people. And by meeting new people we mean having tons of hot, messy sex with as many guys &amp; girls as her petite body can handle. 

Get the new DLC and live out your wildest fantasies alongside this porn pro!"
Crossout Triad: The Patron,"Unique armoured car:Doomed New cabin of epic rarity: Deadman New unique movement part: frontal wheel Unique character portrait Unique paint cans1500 in-game coins.Additionally, the player receives: Epic plasma gun Maximum number of parts increased to 65.Jiangshi has a frightening reputation even by the Syndicate standards. Like the walking dead from the Chinese folklore whose name he bears, this killer cyborg knows no pity, no mercy, no compassion, and can only bring death and destruction. Everything human was cut out of him a long time ago and replaced with the most advanced electronics available to the Syndicate. His dead eyes look impassively at the world, seeing only the order shining right in front of his face. The order he is incapable of resisting, being nothing more than an instrument. The executioners axe, designed for the most dangerous enemies of the Syndicate. Rough, irresistible power and boundless persistence of the living dead are his calling cards.Jiangshi will complete the task and return with a victory. Unlike those who dare stand in his way.The unique armoured car presented in the pack is known for its balance of weapons, combination of modules and speed in combat. To put the car in the garage, go to the tab, select the desired armoured car and click the ‚ÄúAssemble‚Äù button.When you purchase this pack, the number of parts that can be used to build a vehicle increases up to 65. Attention! Storage overflow is possible under certain conditions.Buying the pack also gives early access to several structural parts. Some parts are unique and can only exist in a single copy.Unique portraits provide an excellent opportunity to stand out among the survivors.Paint cans are a way to make your armoured car different from the pack.Coins is the in-game currency, which is used on the market to purchase armoured car parts from other survivors and to pay for the rent of part-building workbenches. Attention! When buying multiple packs, the acquired coins stack!"
